NOM_COMUN,TIPO_VEGET,ESTADO_INICIAL,FECHA,LADO_RED,DAP_ESTIM,LONG_INTER,TIPO_INTER,NIVEL_RIES,CIRCUITO_TRAMO,NODO_1,NODO_2,LONGITUD,LATITUD,DEP,MUN
HIGUERILLO,Cafe/sombrio,Nuevo,2024-02-15,Ambos Lados,200,500,Poda,Alto,VBO23L12,W34052,W34151,-75.87609887,5.066639284,CALDAS,VITERBO
MATARRATON,Arbol aislado,Ejecutado,2024-02-14,Derecha,12,6,Poda,Medio,VBO23L15,W37273,W37279,-75.89968924,5.082543017,CALDAS,VITERBO
YARUMO,Arbol aislado,Ejecutado,2024-02-14,Derecha,25,6,Tala,Alto,VBO23L15,W37273,W37279,-75.899655,5.082591,CALDAS,VITERBO
ACHIOTE,Bosque natural,Nuevo,2024-02-19,Ambos Lados,200,2,Poda,Alto,VBO23L12,W34084,W34085,-75.87025504,5.060375072,CALDAS,VITERBO
NN,Bosque natural secundario,Ejecutado,2024-02-20,Ambos Lados,26,13,Tala,Alto,VCT23L14,E12191,E12199,-74.92839994,5.369326543,CALDAS,VICTORIA
ALISO,Bosque natural secundario,Ejecutado,2024-02-19,Derecha,41,4,Poda,Alto,VCT23L14,E12189,E12190,-74.93153751,5.366225574,CALDAS,VICTORIA
SAUCE,Cerca Viva,Ejecutado,2024-02-19,Derecha,25,4,Tala,Alto,VCT23L14,E12190,E12191,-74.93054287,5.367221974,CALDAS,VICTORIA
NN,Cerca Viva,Ejecutado,2024-02-19,Izquierda,18,3,Poda,Alto,VCT23L14,E12190,E12191,-74.930564,5.367249,CALDAS,VICTORIA
NN,Bosque natural secundario,Ejecutado,2024-02-19,Debajo,23,10,Tala,Medio,VCT23L14,E12191,E12199,-74.928487,5.369323,CALDAS,VICTORIA
GUADUA,Guadual,Ejecutado,2024-02-19,Encima,10,5,Tala,Medio,INS23L14,C20118,C23004,-75.725684,5.04416,CALDAS,PALESTINA
OTROS,Arbol aislado,Ejecutado,2024-02-20,Debajo,50,8,Tala,Alto,VBO23L15,W37279,W37280,-75.90229946,5.083725622,CALDAS,VITERBO
OTROS,Bosque natural,Ejecutado,2024-02-20,Derecha,60,5,Poda,Alto,VBO23L15,W37279,W37280,-75.90228954,5.083722099,CALDAS,VITERBO
NN,Cafe/sombrio,Ejecutado,2024-02-19,Debajo,45,12,Poda,Alto,VBO23L15,O34214,O34215,-75.934743,5.099466,RISARALDA,APÍA
NN,Cafe/sombrio,Ejecutado,2024-02-19,Izquierda,50,10,Poda,Medio,VBO23L15,O34216,O34217,-75.930248,5.096313,RISARALDA,APÍA
GUAMO,Cafe/sombrio,Inspeccionado,2024-02-19,Izquierda,30,0,Poda,Medio,VBO23L15,O34242,O34242,-75.926989,5.094516,RISARALDA,APÍA
NN,Bosque natural secundario,Ejecutado,2024-02-19,Ambos Lados,32,21,Tala,Alto,VCT23L14,E12189,E12190,-74.931668,5.366106,CALDAS,VICTORIA
NN,Ornamental,Ejecutado,2024-02-19,Ambos Lados,35,20,Poda,Alto,PSO23L17,M42239,M42240,-75.49460934,5.06444389,CALDAS,MANIZALES
NN,Ornamental,Ejecutado,2024-02-19,Derecha,45,25,Poda,Alto,PSO23L17,M42236,M42239,-75.49456314,5.064483882,CALDAS,MANIZALES
NN,Ornamental,Ejecutado,2024-02-19,Debajo,40,25,Poda,Alto,PSO23L17,M42239,M42240,-75.49477398,5.064131641,CALDAS,MANIZALES
NN,Ornamental,Inspeccionado,2024-02-19,Debajo,35,15,Poda,Bajo,PSO23L17,M42240,M42241,-75.49483705,5.064008025,CALDAS,MANIZALES
CAMARGO,Rastrojo,Ejecutado,2024-02-20,Debajo,18,20,Poda,Medio,PSO23L17,M42125,M42149,-75.49058795,5.064792301,CALDAS,MANIZALES
CAMARGO,Arbol aislado,Ejecutado,2024-02-20,Izquierda,18,15,Poda,Alto,PSO23L17,M42992,M42993,-75.49351335,5.063653246,CALDAS,MANIZALES
PINO,Plantacion,Ejecutado,2024-02-20,Izquierda,60,12,Poda,Alto,PSO23L17,M42184,M42803,-75.49226415,5.063335435,CALDAS,MANIZALES
SAUCO DE MONTE,Arbol aislado,Ejecutado,2024-02-20,Debajo,25,10,Poda,Alto,PSO23L17,M42159,M42160,-75.49030103,5.062495214,CALDAS,MANIZALES
NN,Rastrojo,Ejecutado,2024-02-20,Derecha,5,10,Rocería,Bajo,PSO23L17,M42180,M42182,-75.49153561,5.063234425,CALDAS,MANIZALES
AGUACATE,Frutales,Ejecutado,2024-02-20,Derecha,35,8,Poda,Alto,PSO23L17,M42189,M42191,-75.493103,5.06305,CALDAS,MANIZALES
GUAYABO,Arbol aislado,Inspeccionado,2024-02-16,Ambos Lados,0,0,Seleccione…,Bajo,VBO23L12,W34723,W34724,-75.875917,5.064101,CALDAS,VITERBO
DRAGO,Arbol aislado,Inspeccionado,2024-02-12,Izquierda,20,9,Poda,Bajo,AZU23L15,N23021,N23022,-75.47290424,5.279134988,CALDAS,ARANZAZU
PALMA,Ornamental,Inspeccionado,2024-02-15,Izquierda,45,6,Poda,Medio,INS23L12,C21090,C21091,-75.67827,5.035807,CALDAS,PALESTINA
ACACIA,Arbol aislado,Inspeccionado,2024-02-15,Derecha,25,3,Poda,Medio,INS23L12,C21086,C21087,-75.675514,5.032993,CALDAS,PALESTINA
NOGAL CAFETERO,Arbol aislado,Inspeccionado,2024-02-12,Debajo,10,5,Poda,Bajo,INS23L12,C21005,C21006,-75.647886,5.002242,CALDAS,PALESTINA
OTROS,Arbol aislado,Inspeccionado,2024-02-12,Izquierda,40,9,Poda,Medio,INS23L12,C21005,C21006,-75.647366,5.001585,CALDAS,PALESTINA
OTROS,Arbol aislado,Inspeccionado,2024-02-12,Izquierda,15,5,Poda,Medio,INS23L12,C21005,C21006,-75.647309,5.001536,CALDAS,PALESTINA
MATARRATON,Arbol aislado,Inspeccionado,2024-02-12,Debajo,10,10,Poda,Bajo,INS23L12,C21017,C21019,-75.656159,5.011669,CALDAS,PALESTINA
YARUMO BLANCO,Arbol aislado,Inspeccionado,2024-02-13,Derecha,35,3,Poda,Medio,INS23L12,C21021,C21085,-75.65986469,5.015783212,CALDAS,PALESTINA
CANIABRAVA,Cerca Viva,Inspeccionado,2024-02-13,Debajo,10,18,Poda,Bajo,INS23L12,C21054,C21055,-75.670056,5.027633,CALDAS,PALESTINA
NN,Rastrojo,Inspeccionado,2024-02-15,Izquierda,10,7,Rocería,Medio,INS23L12,C21097,C21098,-75.678794,5.037861,CALDAS,PALESTINA
NN,Separador Vial,Inspeccionado,2024-02-13,Izquierda,150,12,Poda,Bajo,VBO23L15,W37230,W37426,-75.867548,5.067676,CALDAS,VITERBO
NN,Separador Vial,Inspeccionado,2024-02-13,Ambos Lados,200,0,Poda,Medio,VBO23L15,W34018,W37426,-75.867441,5.067621,CALDAS,VITERBO
LECHUDO,Arbol aislado,Inspeccionado,2024-02-13,Izquierda,65,10,Tala,Alto,VBO23L15,W37230,W37426,-75.868312,5.068005,CALDAS,VITERBO
NN,Bosque natural secundario,Inspeccionado,2024-02-13,Ambos Lados,45,14,Tala,Alto,VBO23L15,W37230,W37426,-75.868277,5.067984,CALDAS,VITERBO
MESTIZO,Arbol aislado,Inspeccionado,2024-02-13,Debajo,30,7,Tala,Medio,VBO23L15,W37230,W37426,-75.868255,5.067978,CALDAS,VITERBO
OTROS,Arbol aislado,Inspeccionado,2024-02-13,Derecha,40,8,Tala,Bajo,VBO23L15,W37230,W37426,-75.869835,5.068677,CALDAS,VITERBO
NN,Bosque natural secundario,Inspeccionado,2024-02-13,Ambos Lados,0,0,Poda,Bajo,VBO23L15,W37265,W37269,-75.896561,5.081243,CALDAS,VITERBO
CEDRO,Arbol aislado,Inspeccionado,2024-02-13,Izquierda,20,0,Tala,Bajo,VBO23L15,W37265,W37269,-75.896604,5.08124,CALDAS,VITERBO
OTROS,Arbol aislado,Inspeccionado,2024-02-13,Ambos Lados,0,0,Poda,Bajo,VBO23L15,W37269,W37273,-75.897298,5.081554,CALDAS,VITERBO
GUADUA,Guadual,Ejecutado,2024-02-20,Izquierda,15,25,Tala,Bajo,VBO23L15,W37172,W37427,-75.862697,5.067846,CALDAS,VITERBO
PALMA COROZO,Arbol aislado,Inspeccionado,2024-02-12,Derecha,55,3,Tala,Bajo,RIO23L16,W52204,W52205,-75.708279,5.418703,CALDAS,RIOSUCIO
GUADUA,Guadual,Inspeccionado,2024-02-12,Debajo,10,20,Tala,Alto,RIO23L16,W52204,W52205,-75.70835,5.418842,CALDAS,RIOSUCIO
GUAMO,Cafe/sombrio,Pendiente Apagon,2024-02-14,Debajo,25,8,Poda,Alto,AZU23L13,N21081,N21083,-75.51158875,5.257455273,CALDAS,ARANZAZU
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-02-13,Debajo,30,3,Poda,Alto,AZU23L13,B68975,B68976,-75.494723,5.278026,CALDAS,ARANZAZU
URAPAN,Arbol aislado,Ejecutado,2024-02-13,Ambos Lados,35,3,Poda,Alto,AZU23L13,B68975,N21009,-75.49412,5.278175,CALDAS,ARANZAZU
ACACIA,Arbol aislado,Ejecutado,2024-02-20,Derecha,40,7,Tala,Medio,VCT23L14,E12067,E12068,-74.87175297,5.53397657,CALDAS,NORCASIA
ACACIA,Arbol aislado,Ejecutado,2024-02-20,Izquierda,50,20,Tala,Medio,VCT23L14,E12067,E12068,-74.87127214,5.53425782,CALDAS,NORCASIA
CHINGALE,Arbol aislado,Ejecutado,2024-02-20,Derecha,40,5,Tala,Alto,VCT23L14,E12067,E12068,-74.87100272,5.534421729,CALDAS,NORCASIA
LAUREL,Bosque natural,Ejecutado,2024-02-20,Debajo,15,21,Tala,Alto,VCT23L14,E12067,E12068,-74.871032,5.534451,CALDAS,NORCASIA
NN,Arbol aislado,Ejecutado,2024-02-05,Ambos Lados,30,10,Tala,Alto,SNA23L12,E42235,E42236,-75.01334886,5.358410471,CALDAS,MARQUETALIA
GUADUA,Guadual,Ejecutado,2024-02-05,Ambos Lados,8,25,Tala,Alto,SNA23L12,E42091,E42197,-75.031595,5.367273,CALDAS,PENSILVANIA
NN,Arbol aislado,Ejecutado,2024-02-05,Ambos Lados,25,16,Tala,Alto,SNA23L12,E42225,E42226,-75.02297,5.361225,CALDAS,MARQUETALIA
YARUMO,Arbol aislado,Ejecutado,2024-02-05,Ambos Lados,25,15,Tala,Medio,SNA23L12,E42117,E42234,-75.013434,5.358577,CALDAS,MARQUETALIA
NN,Arbol aislado,Ejecutado,2024-02-05,Debajo,20,3,Tala,Medio,SNA23L12,E42234,E42241,-75.013245,5.358521,CALDAS,MARQUETALIA
SALVIA DE MONTE,Rastrojo,Ejecutado,2024-02-20,Debajo,15,2,Poda,Medio,INS23L12,C21417,C21418,-75.68463854,5.059989733,CALDAS,PALESTINA
SAMAN,Arbol aislado,Ejecutado,2024-02-20,Debajo,60,3,Poda,Bajo,VBO23L12,W34059,W34060,-75.87050088,5.064859148,CALDAS,VITERBO
GUAMO MACHETO,Cafe/sombrio,Ejecutado,2024-02-20,Izquierda,100,200,Poda,Alto,VBO23L12,W34118,W34119,-75.87257681,5.062512844,CALDAS,VITERBO
NN,Bosque natural secundario,Ejecutado,2024-02-20,Izquierda,120,12,Poda,Alto,VBO23L15,W37279,W37280,-75.903192,5.084146,CALDAS,VITERBO
MATARRATON,Cerca Viva,Ejecutado,2024-02-20,Debajo,35,10,Poda,Bajo,INS23L12,C21420,C21421,-75.68446144,5.06688377,CALDAS,PALESTINA
NOGAL CAFETERO,Cafe/sombrio,Inspeccionado,2024-02-20,Ambos Lados,45,3,Poda,Medio,INS23L12,C21416,C21417,-75.684594,5.059625,CALDAS,PALESTINA
PALMA,Ornamental,Ejecutado,2024-02-20,Debajo,18,20,Poda,Medio,INS23L12,C21271,C21272,-75.685223,5.054987,CALDAS,PALESTINA
PALMA,Ornamental,Ejecutado,2024-02-20,Ambos Lados,95,5,Poda,Medio,INS23L12,C21271,C21272,-75.685256,5.055017,CALDAS,PALESTINA
MATARRATON,Cerca Viva,Inspeccionado,2024-02-20,Ambos Lados,25,10,Poda,Medio,INS23L12,C21418,C21419,-75.684973,5.061642,CALDAS,PALESTINA
MATARRATON,Cerca Viva,Inspeccionado,2024-02-20,Debajo,12,5,Poda,Medio,INS23L12,C21419,C21420,-75.684976,5.063368,CALDAS,PALESTINA
OTROS,Arbol aislado,Ejecutado,2024-02-20,Debajo,40,4,Poda,Medio,INS23L12,C21421,C21422,-75.684364,5.067885,CALDAS,PALESTINA
PALMA,Arbol aislado,Ejecutado,2024-02-19,Derecha,50,15,Tala,Alto,INS23L14,C20002,C20005,-75.726231,5.041149,CALDAS,PALESTINA
MATARRATON,Cerca Viva,Inspeccionado,2024-02-20,Debajo,15,4,Poda,Medio,INS23L12,C21420,C21421,-75.6846,5.065909,CALDAS,PALESTINA
PLATANO,Huerto,Inspeccionado,2024-02-20,Debajo,10,5,Poda,Medio,INS23L12,C21396,C21398,-75.685654,5.056569,CALDAS,PALESTINA
PLATANO,Huerto,Ejecutado,2024-02-20,Debajo,35,3,Poda,Medio,INS23L12,C21387,C21388,-75.684776,5.057503,CALDAS,PALESTINA
NN,Rastrojo,Ejecutado,2024-02-13,Debajo,10,10,Rocería,Alto,PSV23L13,E62290,E62291,-75.16310931,5.519342433,CALDAS,PENSILVANIA
GUADUA,Guadual,Inspeccionado,2024-02-14,Derecha,12,10,Tala,Medio,PSV23L13,E62266,E62271,-75.16985811,5.516248082,CALDAS,PENSILVANIA
QUIEBRABARRIGO,Cerca Viva,Ejecutado,2024-02-14,Debajo,16,4,Poda,Alto,PSV23L13,E62260,E62266,-75.17182552,5.514705795,CALDAS,PENSILVANIA
FLOR MORADO,Ornamental,Nuevo,2024-02-19,Ambos Lados,300,3,Poda,Alto,VBO23L12,W34138,W34140,-75.87737548,5.062689111,CALDAS,VITERBO
NIGUITO,Bosque natural,Ejecutado,2024-02-14,Debajo,5,5,Rocería,Medio,NSA23L14,E55181,E55260,-74.94163951,5.644825388,CALDAS,SAMANÁ
YARUMO,Bosque natural,Ejecutado,2024-02-14,Izquierda,25,8,Poda,Alto,NSA23L14,E55180,E55181,-74.9416407,5.644801414,CALDAS,SAMANÁ
ESPADERO,Arbol aislado,Ejecutado,2024-02-14,Ambos Lados,20,15,Poda,Alto,NSA23L14,E55180,E55181,-74.94163959,5.644818822,CALDAS,SAMANÁ
ESPADERO,Arbol aislado,Inspeccionado,2024-02-15,Debajo,0,3,Poda,Bajo,NSA23L14,E55213,E55227,-74.935351,5.653612,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Debajo,0,30,Poda,No aplica,NSA23L14,E55060,E55261,-74.933742,5.658953,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Izquierda,0,30,Poda,Bajo,NSA23L14,E55227,E55228,-74.934292,5.656475,CALDAS,SAMANÁ
CHOCHO,Arbol aislado,Inspeccionado,2024-02-15,Ambos Lados,0,5,Poda,Bajo,NSA23L14,E55246,E55250,-74.93503,5.667822,CALDAS,SAMANÁ
CAUCHO,Arbol aislado,Ejecutado,2024-02-15,Ambos Lados,30,8,Poda,Alto,NSA23L14,E55250,E55251,-74.936517,5.669546,CALDAS,SAMANÁ
FRESNO,Arbol aislado,Inspeccionado,2024-02-15,Debajo,0,0,Poda,Bajo,NSA23L14,E55227,E55228,-74.93459,5.655454,CALDAS,SAMANÁ
GUADUA,Guadual,Inspeccionado,2024-02-15,Izquierda,0,1,Tala,Bajo,NSA23L14,E55250,E55251,-74.935197,5.668089,CALDAS,SAMANÁ
NN,Arbol aislado,Inspeccionado,2024-02-15,Izquierda,0,10,Poda,Bajo,NSA23L14,E55228,E55229,-74.934185,5.656825,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Derecha,0,0,Poda,Bajo,NSA23L14,E55213,E55227,-74.935887,5.652094,CALDAS,SAMANÁ
CHOCHO,Arbol aislado,Inspeccionado,2024-02-15,Derecha,38,3,Poda,Bajo,NSA23L14,E55246,E55250,-74.934977,5.667802,CALDAS,SAMANÁ
MESTIZO,Arbol aislado,Inspeccionado,2024-02-15,Izquierda,20,2,Poda,Medio,NSA23L14,E55228,E55229,-74.934216,5.656686,CALDAS,SAMANÁ
FICUS,Cerca Viva,Ejecutado,2024-02-15,Derecha,37,4,Poda,Alto,NSA23L14,E55227,E55228,-74.934279,5.656523,CALDAS,SAMANÁ
LAUREL,Arbol aislado,Inspeccionado,2024-02-15,Izquierda,28,5,Poda,Bajo,NSA23L14,E55213,E55227,-74.935798,5.652139,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Debajo,18,4,Poda,Bajo,NSA23L14,E55246,E55250,-74.935053,5.66788,CALDAS,SAMANÁ
ESPADERO,Arbol aislado,Ejecutado,2024-02-15,Izquierda,12,6,Poda,Alto,NSA23L14,E55250,E55251,-74.935245,5.668097,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Izquierda,15,12,Poda,Bajo,NSA23L14,E55213,E55227,-74.935675,5.652475,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Debajo,25,4,Poda,Alto,NSA23L14,E55060,E55261,-74.933433,5.658855,CALDAS,SAMANÁ
GUADUA,Guadual,Inspeccionado,2024-02-15,Derecha,13,5,Tala,Medio,NSA23L14,E55246,E55250,-74.934583,5.667384,CALDAS,SAMANÁ
NN,Cerca Viva,Ejecutado,2024-02-15,Derecha,10,4,Poda,Alto,NSA23L14,E55213,E55227,-74.9349478,5.654527006,CALDAS,SAMANÁ
NN,Cerca Viva,Ejecutado,2024-02-12,Debajo,28,8,Poda,Alto,PSV23L13,E62294,E62296,-75.14196976,5.527487857,CALDAS,PENSILVANIA
CHINGALE,Arbol aislado,Inspeccionado,2024-02-12,Ambos Lados,25,6,Poda,Bajo,PSV23L13,E62294,E62296,-75.14289501,5.527077519,CALDAS,PENSILVANIA
NN,Cerca Viva,Ejecutado,2024-02-12,Debajo,30,4,Poda,Alto,PSV23L13,E62294,E62296,-75.14209099,5.527444218,CALDAS,PENSILVANIA
NN,Cerca Viva,Inspeccionado,2024-02-12,Izquierda,30,8,Poda,Alto,PSV23L13,E62298,E62299,-75.13972799,5.527626241,CALDAS,PENSILVANIA
MATARRATON,Cerca Viva,Ejecutado,2024-02-19,Ambos Lados,25,5,Tala,Alto,RIO23L16,W52234,W52235,-75.71006952,5.442994994,CALDAS,RIOSUCIO
MATARRATON,Cerca Viva,Ejecutado,2024-02-19,Debajo,20,3,Poda,Alto,RIO23L16,W52232,W52234,-75.7100841,5.442968437,CALDAS,RIOSUCIO
CARBONERO,Arbol aislado,Ejecutado,2024-02-19,Debajo,38,5,Poda,Medio,RIO23L16,W52232,W52233,-75.7112505,5.440141138,CALDAS,RIOSUCIO
CHILCA,Rastrojo,Ejecutado,2024-02-19,Debajo,5,3,Rocería,Medio,RIO23L16,W52229,W52232,-75.711642,5.4394,CALDAS,RIOSUCIO
MATARRATON,Cerca Viva,Ejecutado,2024-02-19,Debajo,25,5,Poda,Alto,RIO23L16,W52234,W52235,-75.708184,5.446523,CALDAS,RIOSUCIO
TACHUELO,Arbol aislado,Ejecutado,2024-02-19,Ambos Lados,32,3,Poda,Alto,RIO23L16,W52234,W52235,-75.709853,5.443224,CALDAS,RIOSUCIO
NN,Rastrojo,Nuevo,2024-02-19,Ambos Lados,200,2,Rocería,Alto,VBO23L12,W34723,W34724,-75.87592521,5.064043861,CALDAS,VITERBO
NOGAL CAFETERO,Bosque natural,Nuevo,2024-02-19,Ambos Lados,200,2,Poda,Alto,VBO23L12,W34085,W34086,-75.86990619,5.060265008,CALDAS,VITERBO
PALMA ALEJANDRA,Bosque natural,Nuevo,2024-02-19,Ambos Lados,200,200,Poda,Alto,VBO23L12,W34086,W34087,-75.86952995,5.060141762,CALDAS,VITERBO
NN,Cerca Viva,Inspeccionado,2024-02-13,Debajo,30,15,Poda,Bajo,INS23L12,C21051,C21053,-75.667299,5.02441,CALDAS,PALESTINA
OTROS,Arbol aislado,Ejecutado,2024-02-19,Izquierda,15,5,Poda,Medio,RIO23L16,W52299,W52307,-75.75614672,5.404129348,CALDAS,RIOSUCIO
OTROS,Bosque natural,Ejecutado,2024-02-19,Debajo,30,5,Tala,Medio,RIO23L16,W52296,W52297,-75.74863321,5.408129492,CALDAS,RIOSUCIO
SIETE CUEROS,Arbol aislado,Ejecutado,2024-02-19,Izquierda,15,15,Rocería,Alto,RIO23L16,W52299,W52307,-75.7563,5.404112,CALDAS,RIOSUCIO
OTROS,Arbol aislado,Ejecutado,2024-02-19,Debajo,25,10,Poda,Alto,RIO23L16,W52307,W52308,-75.757352,5.403619,CALDAS,RIOSUCIO
PINO PATULA,Arbol aislado,Pendiente Apagon,2024-02-19,Ambos Lados,40,7,Poda,Alto,RIO23L16,W52314,W52315,-75.761612,5.397793,CALDAS,RIOSUCIO
URAPAN,Cerca Viva,Ejecutado,2024-02-19,Debajo,20,10,Rocería,Alto,RIO23L16,W52299,W52307,-75.756071,5.404218,CALDAS,RIOSUCIO
NN,Cerca Viva,Ejecutado,2024-02-20,Derecha,9,15,Poda,Alto,MAZ23L14,E32659,E32660,-75.26516752,5.249403752,CALDAS,MARULANDA
NN,Cerca Viva,Ejecutado,2024-02-20,Ambos Lados,8,10,Poda,Alto,MAZ23L14,E32658,E32659,-75.26484114,5.249287485,CALDAS,MARULANDA
ALMENDRO,Arbol aislado,Ejecutado,2024-02-20,Derecha,30,9,Poda,Alto,VBO23L12,W34119,W34120,-75.87269258,5.062243597,CALDAS,VITERBO
CEDRO ROSADO,Arbol aislado,Ejecutado,2024-02-12,Debajo,20,2,Poda,Medio,VBO23L13,O10386,O10387,-75.84548082,4.995672506,CALDAS,BELALCÁZAR
MATARRATON,Cerca Viva,Ejecutado,2024-02-12,Debajo,19,5,Poda,Medio,VBO23L13,W35005,W35670,-75.85662038,4.995462662,CALDAS,SAN JOSÉ
NOGAL CAFETERO,Arbol aislado,Ejecutado,2024-02-14,Debajo,35,20,Poda,Alto,VBO23L13,W35644,W35682,-75.85795438,4.98410033,CALDAS,SAN JOSÉ
CIPRES,Cerca Viva,Ejecutado,2024-02-19,Debajo,7,5,Poda,Alto,MAZ23L13,E31568,E31569,-75.14672319,5.277341418,CALDAS,MANZANARES
CIPRES,Cerca Viva,Ejecutado,2024-02-19,Derecha,8,6,Poda,Alto,MAZ23L13,E31570,E31571,-75.14733886,5.278014381,CALDAS,MANZANARES
CIPRES,Cerca Viva,Ejecutado,2024-02-19,Ambos Lados,8,12,Poda,Alto,MAZ23L13,E31568,E31569,-75.146282,5.276773,CALDAS,MANZANARES
CIPRES,Cerca Viva,Ejecutado,2024-02-19,Debajo,8,11,Poda,Alto,MAZ23L13,E31569,E31570,-75.147136,5.277866,CALDAS,MANZANARES
NN,Cerca Viva,Ejecutado,2024-02-13,Debajo,15,6,Poda,Alto,PSV23L13,E62292,E62293,-75.15981891,5.520521482,CALDAS,PENSILVANIA
NN,Cerca Viva,Ejecutado,2024-02-14,Ambos Lados,30,18,Poda,Alto,PSV23L13,E62271,E62272,-75.1662023,5.518155727,CALDAS,PENSILVANIA
NN,Cerca Viva,Ejecutado,2024-02-14,Debajo,12,3,Poda,Alto,PSV23L13,E62266,E62271,-75.17175548,5.514756996,CALDAS,PENSILVANIA
GUAYACAN,Separador Vial,Ejecutado,2024-02-16,Izquierda,40,15,Poda,Medio,VBO23L12,W34083,W34084,-75.87091486,5.060569053,CALDAS,VITERBO
ALMENDRO,Arbol aislado,Ejecutado,2024-02-19,Derecha,30,3,Poda,Medio,VBO23L12,W34081,W34082,-75.87262892,5.061136508,CALDAS,VITERBO
MATARRATON,Cerca Viva,Ejecutado,2024-02-08,Ambos Lados,28,8,Poda,Alto,VBO23L12,W34143,W34680,-75.874633,5.056285,CALDAS,VITERBO
GUAYACAN ROSADO,Separador Vial,Ejecutado,2024-02-19,Izquierda,30,10,Poda,Medio,VBO23L12,W34136,W34136,-75.875338,5.062095,CALDAS,VITERBO
SAMAN,Arbol aislado,Ejecutado,2024-02-20,Ambos Lados,45,10,Poda,Alto,VBO23L12,W34060,W34061,-75.870521,5.065115,CALDAS,VITERBO
GUAYACAN,Arbol aislado,Ejecutado,2024-02-07,Debajo,30,3,Poda,Medio,VBO23L12,W34060,W34061,-75.870489,5.065012,CALDAS,VITERBO
TULIPAN AFRICANO,Separador Vial,Ejecutado,2024-02-19,Derecha,35,10,Poda,Medio,VBO23L12,W34079,W34080,-75.872039,5.060994,CALDAS,VITERBO
GUADUA,Guadual,Ejecutado,2024-02-09,Izquierda,10,8,Tala,Medio,VBO23L13,W35505,W35779,-75.850403,5.05963,CALDAS,SAN JOSÉ
SAMAN,Arbol aislado,Ejecutado,2024-02-19,Izquierda,70,5,Poda,Medio,VBO23L12,W34083,W34083,-75.87117569,5.060659504,CALDAS,VITERBO
PALMA COQUITO,Arbol aislado,Ejecutado,2024-02-19,Derecha,10,1,Poda,Medio,VBO23L12,W34112,W34113,-75.873423,5.060544,CALDAS,VITERBO
GUAYACAN,Arbol aislado,Ejecutado,2024-02-14,Debajo,30,4,Poda,Medio,VBO23L13,W35684,W35685,-75.857613,4.980429,CALDAS,BELALCÁZAR
CAMARGO,Arbol aislado,Inspeccionado,2024-02-15,Izquierda,60,0,Seleccione…,Bajo,VBO23L13,W35692,W35704,-75.858101,4.96518,CALDAS,BELALCÁZAR
OTROS,Arbol aislado,Inspeccionado,2024-02-14,Ambos Lados,35,4,Seleccione…,Bajo,VBO23L13,W35704,W35706,-75.858234,4.96433,CALDAS,BELALCÁZAR
GUASIMO,Arbol aislado,Ejecutado,2024-02-14,Debajo,35,3,Poda,Medio,VBO23L13,W35682,W35683,-75.857922,4.983422,CALDAS,SAN JOSÉ
OTROS,Arbol aislado,Inspeccionado,2024-02-15,Debajo,35,0,Seleccione…,Bajo,VBO23L13,W35692,W35704,-75.857475,4.967286,CALDAS,BELALCÁZAR
OTROS,Arbol aislado,Ejecutado,2024-02-14,Ambos Lados,35,15,Poda,Alto,VBO23L13,W35684,W35685,-75.857454,4.979658,CALDAS,BELALCÁZAR
CAIMO,Arbol aislado,Ejecutado,2024-02-15,Debajo,35,102,Poda,Medio,VBO23L13,W35695,W35697,-75.858295,4.968225,CALDAS,BELALCÁZAR
OTROS,Arbol aislado,Ejecutado,2024-02-15,Izquierda,35,5,Poda,Medio,VBO23L12,W34086,W34087,-75.86949,5.060178,CALDAS,VITERBO
SAMAN,Arbol aislado,Ejecutado,2024-02-15,Derecha,40,8,Poda,Alto,VBO23L12,W34054,W34055,-75.876995,5.066387,CALDAS,VITERBO
GUAYACAN ROSADO,Separador Vial,Ejecutado,2024-02-16,Izquierda,35,5,Poda,Medio,VBO23L12,W34087,W34088,-75.868647,5.059968,CALDAS,VITERBO
MATARRATON,Cerca Viva,Inspeccionado,2024-02-19,Derecha,40,0,Seleccione…,Bajo,VBO23L12,W34010,W34011,-75.858986,5.066803,CALDAS,VITERBO
CHINGALE,Arbol aislado,Inspeccionado,2024-02-14,Izquierda,35,4,Poda,Bajo,NSA23L14,E55163,E55177,-74.94273966,5.634291623,CALDAS,SAMANÁ
GUADUA,Guadual,Inspeccionado,2024-02-14,Izquierda,27,18,Tala,Bajo,NSA23L14,E55177,E55178,-74.94274552,5.634834054,CALDAS,SAMANÁ
AGUACATE,Frutales,Inspeccionado,2024-02-14,Debajo,20,25,Poda,Alto,NSA23L14,E55177,E55178,-74.94275986,5.637307756,CALDAS,SAMANÁ
NN,Cerca Viva,Inspeccionado,2024-02-15,Debajo,28,4,Poda,Bajo,NSA23L14,E55234,E55261,-74.932302,5.661926,CALDAS,SAMANÁ
